Refresh rate, cpu cycles, bus cycles, instr, branch instructions, branch misses, bpu access, bpu miss, cache ref, cache misses, dtlb read, dtlb miss, itlb read accesses, itlb read misses
10000000,5137457,796077,4020928,993099,1976,668716,542,0,0,0,0,0,0
10000000,0,0,571745,506843,1966,1217734,2834,237,61,0,0,0,0
10000000,0,0,0,0,0,472980,532,329,44,0,0,0,0
10000000,3466001,0,0,0,0,0,0,343,0,54,81,25,22
10000000,25874219,753642,5001102,587512,0,0,0,0,0,56,522,0,10
10000000,11773216,869149,6891620,1712771,1342,949636,943,0,0,0,15,0,0
10000000,0,0,1761194,1078077,2257,1696383,2380,0,0,0,0,0,0
10000000,0,0,0,0,320,721438,590,321,58,0,0,0,0
10000000,0,0,0,0,0,0,0,272,0,9,31,32,25
10000000,25812661,626800,4132607,370449,0,0,0,0,0,53,533,0,10
10000000,14996047,997821,6884547,1710885,1099,735761,703,0,0,0,16,0,0
10000000,0,0,2603334,1338871,2728,1746060,2837,0,0,0,0,0,0
10000000,0,0,0,0,336,933150,709,324,58,0,0,0,0
10000000,0,0,0,0,0,0,0,297,0,0,0,1,0
10000000,22292594,496126,3273905,157415,0,0,0,0,0,170,538,0,10
10000000,18266823,1036912,6803971,1690506,1067,497902,0,0,0,0,20,0,0
10000000,0,111280,3498316,1524142,2204,1714153,2148,0,0,0,0,0,0
10000000,0,0,0,0,333,1150413,935,262,44,0,0,0,0
1000000,0,0,0,0,0,0,1925,365,58,0,0,0,0
1000000,0,0,0,0,0,0,0,112,59,0,0,0,0
1000000,0,0,0,0,0,0,0,112,58,0,0,0,0
1000000,0,0,0,0,0,0,0,75,0,0,0,0,0
1000000,0,0,0,0,0,0,0,790,58,0,0,0,0
1000000,0,0,0,0,0,0,0,788,30,0,0,0,0
1000000,0,0,0,0,0,0,0,589,51,0,0,0,0
1000000,0,0,0,0,0,0,0,74,0,5,0,0,0
1000000,0,0,0,0,0,0,0,0,0,0,0,1,0
1000000,0,0,0,0,0,0,0,0,0,0,0,1,0
1000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,1843927,0,0,0,0,0,0,0,0,37,68,24,22
1000000,3199294,0,0,0,0,0,0,0,0,68,63,45,0
1000000,2973029,0,0,0,0,0,0,0,0,92,16,57,0
1000000,2946900,16017,151463,0,0,0,0,0,0,154,70,57,0
1000000,3266139,135819,983657,0,0,0,0,0,0,326,397,57,0
1000000,3055370,127259,888395,0,0,0,0,0,0,152,17,57,0
1000000,3046418,126963,886529,0,0,0,0,0,0,152,18,58,0
1000000,3051817,127194,919413,125601,0,0,0,0,0,60,26,0,0
1000000,2995104,125009,865693,207747,0,0,0,0,0,0,66,0,7
1000000,2996868,124587,862745,207170,0,0,0,0,0,0,56,0,7
1000000,3183945,132816,908073,217061,381,0,0,0,0,0,9,0,0
1000000,2945726,122680,843325,203009,196,0,0,0,0,0,0,0,0
1000000,2934038,122260,842253,202854,177,0,0,0,0,0,0,0,0
1000000,2934330,123636,845903,203760,392,0,0,0,0,0,0,0,0
1000000,1742693,126165,893269,215986,713,126864,0,0,0,0,0,0,0
1000000,0,128804,968160,233332,778,235062,0,0,0,0,0,0,0
1000000,0,130634,917271,221107,259,218841,0,0,0,0,0,0,0
1000000,0,128807,865820,207645,266,214574,231,0,0,0,0,0,0
1000000,0,9213,1342804,326806,442,321828,250,0,0,0,0,0,0
1000000,0,0,1198868,289804,1287,288093,1277,0,0,0,0,0,0
1000000,0,0,851876,205058,176,204900,176,0,0,0,0,0,0
1000000,0,0,526435,209926,506,210855,527,0,0,0,0,0,0
1000000,0,0,0,199552,172,198609,147,0,0,0,0,0,0
1000000,0,0,0,206225,607,206309,603,0,0,0,0,0,0
1000000,0,0,0,198371,132,197980,135,0,0,0,0,0,0
1000000,0,0,0,49471,281,209270,313,0,0,0,0,0,0
1000000,0,0,0,0,110,211898,121,0,0,0,0,0,0
1000000,0,0,0,0,96,204404,125,0,0,0,0,0,0
1000000,0,0,0,0,112,196548,283,142,29,0,0,0,0
1000000,0,0,0,0,0,209750,109,102,22,0,0,0,0
1000000,0,0,0,0,0,208928,112,29,0,0,0,0,0
1000000,0,0,0,0,0,208575,88,29,0,0,0,0,0
1000000,0,0,0,0,0,81022,186,88,22,0,0,0,0
1000000,0,0,0,0,0,0,395,136,30,0,0,0,0
1000000,0,0,0,0,0,0,367,118,22,0,0,0,0
1000000,0,0,0,0,0,0,108,113,33,0,0,0,0
1000000,0,0,0,0,0,0,0,85,52,0,0,0,0
1000000,0,0,0,0,0,0,0,52,22,0,0,0,0
